site_id,status,location_m,long,lat,long_TF,lat_TF,longitude,latitude,SoundExisting,SoundImpact,SoundNatural,NightBrightness
415,discontinued,gps,-76.55318200,38.82695000,TRUE,TRUE,-76.5531820,38.8269500,43.9513,9.1402,34.8111,0.556889
416,discontinued,gps,-77.23417000,39.20582800,TRUE,TRUE,-77.2341700,39.2058280,47.0773,12.9374,34.1399,2.307780
422,active,map,-77.30630000,38.82910000,TRUE,TRUE,-77.3063000,38.8291000,49.0354,15.3498,33.6856,3.644020
423,active,gps,-76.58091000,39.65187400,TRUE,TRUE,-76.5809100,39.6518740,38.1746,4.6051,33.5695,0.364319
426,resight-only,gps,-76.58365000,39.09017400,TRUE,TRUE,-76.5836500,39.0901740,49.0812,14.4884,34.5928,2.126500
428,discontinued,gps,-77.03716800,38.91127300,TRUE,TRUE,-77.0371680,38.9112730,56.3128,21.4540,34.8588,17.892400
431,discontinued,gps,-77.05555400,38.97583200,TRUE,TRUE,-77.0555540,38.9758320,46.8869,12.5793,34.3076,5.765180
432,discontinued,gps,-77.11774400,38.98742600,TRUE,TRUE,-77.1177440,38.9874260,48.3792,13.5949,34.7843,4.037460
437,active,map,39.32424000,-76.57169000,FALSE,FALSE,-76.5716900,39.3242400,53.5718,18.9249,34.6470,8.885760
440,discontinued,gps,-77.05912800,38.97559100,TRUE,TRUE,-77.0591280,38.9755910,47.2987,12.6758,34.6228,5.765180
445,discontinued,gps,-77.06241100,39.07472600,TRUE,TRUE,-77.0624110,39.0747260,47.2388,12.8785,34.3604,3.842890
446,active,map,39.28864000,-76.67027000,FALSE,FALSE,-76.6702700,39.2886400,55.1439,20.3360,34.8079,8.203190
449,resight-only,gps,-77.09470177,38.95002261,TRUE,TRUE,-77.0947018,38.9500226,50.3176,15.3871,34.9305,5.883460
452,resight-only,gps,-77.00901927,39.07585191,TRUE,TRUE,-77.0090193,39.0758519,46.8316,12.4835,34.3481,3.127840
453,discontinued,gps,-76.61746600,38.79295100,TRUE,TRUE,-76.6174660,38.7929510,42.3267,8.0323,34.2944,0.583258
459,discontinued,gps,-77.08542135,38.78034500,TRUE,TRUE,-77.0854214,38.7803450,49.9592,15.1478,34.8114,4.935770
462,discontinued,gps,-76.43189000,39.01182400,TRUE,TRUE,-76.4318900,39.0118240,45.6229,10.3386,35.2843,0.890391
464,discontinued,gps,-76.60477400,38.98506100,TRUE,TRUE,-76.6047740,38.9850610,46.7487,12.0951,34.6536,1.318240
468,discontinued,gps,-77.00705000,39.01360800,TRUE,TRUE,-77.0070500,39.0136080,47.7854,13.4015,34.3838,4.279030
472,active,gps,-77.07755513,38.94606739,TRUE,TRUE,-77.0775551,38.9460674,55.5604,20.6342,34.9262,7.735110
474,discontinued,gps,-76.72613900,38.90759700,TRUE,TRUE,-76.7261390,38.9075970,47.2557,12.9036,34.3521,2.315950
476,discontinued,gps,-76.49043400,38.97717600,TRUE,TRUE,-76.4904340,38.9771760,49.0727,14.4160,34.6567,2.708240
479,discontinued,gps,-77.06869300,38.96340000,TRUE,TRUE,-77.0686930,38.9634000,48.9145,14.2795,34.6350,6.778270
485,discontinued,gps,-77.13150300,38.85880500,TRUE,TRUE,-77.1315030,38.8588050,49.4167,14.6432,34.7735,5.737180
487,resight-only,gps,-77.14546600,38.75238000,TRUE,TRUE,-77.1454660,38.7523800,47.3938,12.8595,34.5343,3.568110
493,discontinued,gps,-77.44713000,38.84612700,TRUE,TRUE,-77.4471300,38.8461270,47.9600,13.3444,34.6157,2.721160
495,discontinued,gps,-76.99188200,38.98360500,TRUE,TRUE,-76.9918820,38.9836050,49.2412,14.3520,34.8892,6.526450
499,discontinued,gps,-76.47948300,39.10575700,TRUE,TRUE,-76.4794830,39.1057570,46.6674,11.7349,34.9325,1.387940
502,resight-only,gps,-77.37767000,38.97646000,TRUE,TRUE,-77.3776700,38.9764600,49.5542,15.6168,33.9374,3.460780
504,discontinued,gps,-77.09942000,38.88205200,TRUE,TRUE,-77.0994200,38.8820520,52.8016,17.9933,34.8083,7.046540
513,resight-only,gps,-77.09532767,38.89798652,TRUE,TRUE,-77.0953277,38.8979865,51.9296,17.2051,34.7245,7.149030
515,discontinued,gps,-77.02346700,38.88788500,TRUE,TRUE,-77.0234670,38.8878850,55.9684,20.9029,35.0654,18.815400
517,discontinued,gps,-76.80035500,39.11073400,TRUE,TRUE,-76.8003550,39.1107340,47.0857,12.1750,34.9108,4.256540
522,active,gps,-78.95565400,38.60528400,TRUE,TRUE,-78.9556540,38.6052840,38.6352,4.4720,34.1632,0.055416
523,discontinued,gps,-77.10467702,38.89871030,TRUE,TRUE,-77.1046770,38.8987103,50.9136,16.0979,34.8157,7.149030
529,resight-only,gps,-76.96913811,39.03046347,TRUE,TRUE,-76.9691381,39.0304635,47.1752,12.5450,34.6302,4.190420
532,resight-only,gps,-77.33713000,38.90791000,TRUE,TRUE,-77.3371300,38.9079100,46.6046,11.6593,34.9453,2.365900
533,active,gps,-77.34132000,38.90577000,TRUE,TRUE,-77.3413200,38.9057700,47.1314,12.2535,34.8779,2.479640
541,resight-only,gps,-77.29920559,39.03759437,TRUE,TRUE,-77.2992056,39.0375944,45.6852,11.9362,33.7490,1.547510
543,resight-only,gps,-77.07017019,38.82692900,TRUE,TRUE,-77.0701702,38.8269290,50.9902,16.2379,34.7523,7.673010
544,discontinued,gps,-76.53805200,39.07596100,TRUE,TRUE,-76.5380520,39.0759610,47.2791,12.4890,34.7901,2.405740
546,discontinued,gps,-77.00498000,38.98132400,TRUE,TRUE,-77.0049800,38.9813240,47.7070,13.1629,34.5441,7.148950
548,resight-only,gps,-77.09665000,38.70580700,TRUE,TRUE,-77.0966500,38.7058070,46.1281,11.5811,34.5469,1.659680
554,discontinued,gps,-76.96206000,38.86480200,TRUE,TRUE,-76.9620600,38.8648020,51.7876,16.9424,34.8451,8.745880
555,discontinued,gps,-75.85235900,38.83089000,TRUE,TRUE,-75.8523590,38.8308900,41.6457,6.8889,34.7568,0.170092
556,resight-only,gps,-77.20438000,39.08415100,TRUE,TRUE,-77.2043800,39.0841510,47.2342,13.4449,33.7892,3.659260
558,active,gps,-76.96756000,39.01579000,TRUE,TRUE,-76.9675600,39.0157900,48.3463,13.8142,34.5321,4.330610
559,resight-only,gps,-77.09060333,38.76582600,TRUE,TRUE,-77.0906033,38.7658260,50.8251,16.0401,34.7850,4.397580
